GEOID,NAME,LSAD
"19580","Defiance, OH",M2
"16460","Centralia, IL",M2
"11540","Appleton, WI",M1
"37420","Pampa, TX",M2
"10940","Alma, MI",M2
"31980","Marion, IN",M2
"12980","Battle Creek, MI",M1
"21120","Elk City, OK",M2
"41660","San Angelo, TX",M1
"30660","Lincoln, IL",M2
"36780","Oshkosh-Neenah, WI",M1
"34500","Mount Vernon, IL",M2
"40740","Roswell, NM",M2
"35700","Nogales, AZ",M2
"14420","Borger, TX",M2
"27420","Jamestown, ND",M2
"23240","Fredericksburg, TX",M2
"30380","Lewistown, PA",M2
"15100","Brookings, SD",M2
"15460","Burlington, IA-IL",M2
"11900","Athens, OH",M2
"14700","Branson, MO",M2
"33420","Mineral Wells, TX",M2
"16940","Cheyenne, WY",M1
"40760","Ruidoso, NM",M2
"13660","Big Rapids, MI",M2
"34620","Muncie, IN",M1
"15220","Brownwood, TX",M2
"43020","Shawano, WI",M2
"13180","Beaver Dam, WI",M2
"37120","Ozark, AL",M2
"19180","Danville, IL",M1
"48940","Wilmington, OH",M2
"44540","Sterling, CO",M2
"17700","Coffeyville, KS",M2
"17060","Chillicothe, OH",M2
"31930","Marietta, OH",M2
"47620","Warren, PA",M2
"47540","Wapakoneta, OH",M2
"13540","Bennington, VT",M2
"23900","Gettysburg, PA",M1
"49220","Wisconsin Rapids-Marshfield, WI",M2
"26090","Holland, MI",M2
"17820","Colorado Springs, CO",M1
"46900","Vernon, TX",M2
"35940","Norwalk, OH",M2
"36940","Owatonna, MN",M2
"34740","Muskegon, MI",M1
"20300","Dumas, TX",M2
"19540","Decatur, IN",M2
"32740","Meadville, PA",M2
"25780","Henderson, NC",M2
"26740","Hutchinson, KS",M2
"30220","Levelland, TX",M2
"44660","Stillwater, OK",M2
"25220","Hammond, LA",M1
"28020","Kalamazoo-Portage, MI",M1
"21300","Elmira, NY",M1
"24980","Grenada, MS",M2
"26020","Hobbs, NM",M2
"48700","Williamsport, PA",M1
"24140","Goldsboro, NC",M1
"10660","Albert Lea, MN",M2
"16660","Charleston-Mattoon, IL",M2
"24220","Grand Forks, ND-MN",M1
"26900","Indianapolis-Carmel-Anderson, IN",M1
"27900","Joplin, MO",M1
"39260","Prineville, OR",M2
"43580","Sioux City, IA-NE-SD",M1
"35620","New York-Newark-Jersey City, NY-NJ-PA",M1
"10420","Akron, OH",M1
"16980","Chicago-Naperville-Elgin, IL-IN-WI",M1
"47920","Washington Court House, OH",M2
"14460","Boston-Cambridge-Newton, MA-NH",M1
"14300","Bonham, TX",M2
"28500","Kerrville, TX",M2
"24100","Gloversville, NY",M2
"26940","Indianola, MS",M2
"45380","Taylorville, IL",M2
"36830","Othello, WA",M2
"39980","Richmond, IN",M2
"23980","Glasgow, KY",M2
"32300","Martinsville, VA",M2
"42420","Scottsbluff, NE",M2
"33100","Miami-Fort Lauderdale-Pompano Beach, FL",M1
"24740","Greenville, MS",M2
"39020","Portsmouth, OH",M2
"36300","Ogdensburg-Massena, NY",M2
"24660","Greensboro-High Point, NC",M1
"32860","Menomonie, WI",M2
"21380","Emporia, KS",M2
"17500","Clewiston, FL",M2
"40820","Ruston, LA",M2
"49060","Winfield, KS",M2
"18020","Columbus, IN",M1
"32660","McMinnville, TN",M2
"28260","Kearney, NE",M2
"30900","Logansport, IN",M2
"27060","Ithaca, NY",M1
"41860","San Francisco-Oakland-Berkeley, CA",M1
"36840","Ottawa, KS",M2
"15140","Brownsville, TN",M2
"18460","Cornelia, GA",M2
"15340","Bucyrus-Galion, OH",M2
"13500","Bennettsville, SC",M2
"28660","Killeen-Temple, TX",M1
"39940","Rexburg, ID",M2
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN",M1
"48820","Willmar, MN",M2
"49080","Winnemucca, NV",M2
"47340","Wabash, IN",M2
"30340","Lewiston-Auburn, ME",M1
"26780","Hutchinson, MN",M2
"30020","Lawton, OK",M1
"27740","Johnson City, TN",M1
"41260","St. Marys, PA",M2
"39860","Red Wing, MN",M2
"44620","Stevens Point, WI",M2
"22820","Fort Morgan, CO",M2
"39300","Providence-Warwick, RI-MA",M1
"19940","Dixon, IL",M2
"12220","Auburn-Opelika, AL",M1
"33060","Miami, OK",M2
"29620","Lansing-East Lansing, MI",M1
"18420","Corinth, MS",M2
"19500","Decatur, IL",M1
"29300","LaGrange, GA-AL",M2
"39380","Pueblo, CO",M1
"40620","Rolla, MO",M2
